Trial.ID Target.ID lexicality morphtype target prime primetype logfreq.Zipf.t lent lenp logfreq.Zipf.p Nt Np
11090 90 WORD OP organ organic rel 3,99 5 7 4 6 0
11091 91 WORD OP plan planet rel 5,2 4 6 4,66 28 3
11092 92 WORD OP pluck plucky rel 3,38 5 6 3,06 6 2
11093 93 WORD OP putt putty rel 3,63 4 5 2,87 24 18
11094 94 WORD OP sign signet rel 4,98 4 6 2,4 8 3
11095 95 WORD OP snip sniper rel 3,64 4 6 3,15 18 4
11096 96 WORD OP treat treaty rel 4,75 5 6 4,06 6 2
11097 97 WORD OP troll trolley rel 3,32 5 7 3,82 8 3
11098 98 WORD OP trump trumpet rel 4,07 5 7 3,82 9 3
11099 99 WORD OP unit united rel 4,58 4 6 5,06 15 2
11100 100 WORD OP whisk whisker rel 3,82 5 7 3,1 3 4
21101 101 WORD OR again perhaps ctrl 5,84 5 7 5,23 3 0
21102 102 WORD OR append believer ctrl 1,65 6 8 3,5 2 4
21103 103 WORD OR arse timidly ctrl 4,04 4 7 1,77 19 0
21104 104 WORD OR basil benignly ctrl 4,09 5 8 1,87 12 0
21105 105 WORD OR broth warfare ctrl 3,49 5 7 3,62 6 0
21106 106 WORD OR candid epileptic ctrl 3,02 6 9 2,74 0 0
21107 107 WORD OR colon ability ctrl 2,98 5 7 4,64 12 1
21108 108 WORD OR comma equally ctrl 2,81 5 7 4,23 6 1
21109 109 WORD OR demon instruction ctrl 3,53 5 11 3,55 16 0
21110 110 WORD OR elect suburban ctrl 3,63 5 8 3,4 3 0
21111 111 WORD OR ether rumbling ctrl 2,91 5 8 3,32 8 7
21112 112 WORD OR extra justify ctrl 5,02 5 7 3,86 2 0
21113 113 WORD OR fuse citation ctrl 3,66 4 8 2,42 15 0
21114 114 WORD OR intern revolutionary ctrl 2,82 6 13 3,92 3 1
21115 115 WORD OR invest anaesthetic ctrl 4,35 6 11 3,67 5 1
21116 116 WORD OR neigh struggled ctrl 3,07 5 9 4,16 7 3
21117 117 WORD OR parent lectureship ctrl 4,21 6 11 1,6 4 0
21118 118 WORD OR phone dreadful ctrl 5,19 5 8 4,08 7 0
21119 119 WORD OR plain absurdity ctrl 4,36 5 9 2,67 12 0
21120 120 WORD OR stamp defector ctrl 4,2 5 8 2,34 5 1
21121 121 WORD OR stub moisture ctrl 2,74 4 8 3,88 14 0
21122 122 WORD OR surf medical ctrl 3,8 4 7 4,63 11 1
21123 123 WORD OR surge novelty ctrl 3,78 5 7 3,87 6 0
21124 124 WORD OR text booklet ctrl 4,4 4 7 3,06 12 0
21125 125 WORD OR villa grossly ctrl 4,05 5 7 3,06 13 1
11126 126 WORD OR butt button rel 3,85 4 6 4,46 18 13
11127 127 WORD OR dial dialog rel 3,8 4 6 1,17 19 0
11128 128 WORD OR force forceps rel 4,96 5 7 2,82 7 0
11129 129 WORD OR free freeze rel 5,25 4 6 4,3 24 4
11130 130 WORD OR gala galaxy rel 3,32 4 6 3,81 33 0
11131 131 WORD OR glad glade rel 4,85 4 5 3,31 14 10
11132 132 WORD OR heave heaven rel 3,33 5 6 4,6 8 5
11133 133 WORD OR jerk jerkin rel 3,55 4 6 2,08 10 3
11134 134 WORD OR plus plush rel 4,78 4 5 2,98 18 5
11135 135 WORD OR pub public rel 4,71 3 6 5,44 44 0
11136 136 WORD OR pulp pulpit rel 3,41 4 6 3 10 0
11137 137 WORD OR quart quartz rel 2,52 5 6 3,16 8 3
11138 138 WORD OR rabbi rabbit rel 3,32 5 6 4,39 1 6
11139 139 WORD OR scrap scrape rel 4,14 5 6 3,61 9 4
