Trial.ID Target.ID Lexicality MorphType Target Prime primeType logfreq.Zipf.t lent lenp logfreq.Zipf.p Nt Np
11029 29 WORD TR atto morale ctrl 4.411815479 4 6 4.317217021 27 7
11030 30 WORD TR canto mammola ctrl 4.136637944 5 7 2.094013217 30 3
11031 31 WORD TR cubo tessile ctrl 3.379851714 4 7 2.787520326 21 2
11032 32 WORD TR dito idrico ctrl 4.477604199 4 6 2.808971327 46 2
11033 33 WORD TR dose camerata ctrl 4.069732162 4 8 2.965440196 32 3
11034 34 WORD TR erba areola ctrl 4.450278157 4 6 2.145165739 17 2
11035 35 WORD TR fama ideale ctrl 3.907760953 4 6 4.063662057 40 6
11036 36 WORD TR fato fidata ctrl 3.609224521 4 6 3.369900177 41 13
11037 37 WORD TR fieno vettore ctrl 3.374193074 5 7 2.993696955 12 8
11038 38 WORD TR forno frenata ctrl 4.012764157 5 7 2.990263779 17 12
11039 39 WORD TR legno puerile ctrl 4.25162107 5 7 2.59746341 16 1
11040 40 WORD TR mito botola ctrl 3.847979083 4 6 3.353786223 37 4
11041 41 WORD TR nervo turista ctrl 3.431472478 5 7 3.467385034 7 7
11042 42 WORD TR noia sadico ctrl 3.913557153 4 6 3.318028028 34 7
11043 43 WORD TR orto litorale ctrl 3.238198097 4 8 2.367014489 30 2
11044 44 WORD TR pollo nudista ctrl 4.465312026 5 7 2.70943717 26 3
11045 45 WORD TR regia pittore ctrl 3.529379724 5 7 3.656306081 10 4
11046 46 WORD TR sano alcolista ctrl 4.129693053 4 9 3.280828341 47 1
11047 47 WORD TR sasso fazione ctrl 3.749631801 5 7 2.98331492 13 10
11048 48 WORD TR taxi pontile ctrl 4.58973096 4 7 2.824391686 16 2
11049 49 WORD TR vello bravata ctrl 2.433961279 5 7 2.993696955 28 5
11050 50 WORD TR vetro fondale ctrl 4.228747981 5 7 2.997103204 16 5
21051 51 WORD OP abito abitudine rel 4.311990397 5 9 4.053054609 17 2
21052 52 WORD OP artiglio artigliere rel 2.986803247 8 10 2.93128592 2 2
21053 53 WORD OP ballo ballatoio rel 4.761524539 5 9 2.03602127 32 0
21054 54 WORD OP calvo calvario rel 3.467385034 5 8 2.728742325 17 2
21055 55 WORD OP cernia cerniera rel 2.270104476 6 8 3.220307008 2 2
21056 56 WORD OP colle collezione rel 2.898493406 5 10 4.098603254 23 8
21057 57 WORD OP coscia coscienza rel 3.506893575 6 9 4.272810369 7 4
21058 58 WORD OP costa costanza rel 4.609473092 5 8 2.93128592 32 2
21059 59 WORD OP firma firmamento rel 4.323982873 5 10 2.734991274 10 2
21060 60 WORD OP forma formaggio rel 4.76910384 5 9 4.324621776 27 5
21061 61 WORD OP forza forziere rel 5.552103132 5 8 2.81417252 17 2
21062 62 WORD OP genero generoso rel 3.48758842 6 8 3.960669697 7 3
21063 63 WORD OP gesta gestazione rel 2.997103204 5 10 2.64576809 25 2
21064 64 WORD OP gomito gomitolo rel 3.598314134 6 8 2.469676831 7 1
21065 65 WORD OP indole indolenza rel 3.00716453 6 9 2.094013217 0 2
21066 66 WORD OP maestra maestranze rel 3.913145694 7 10 1.844135744 5 0
21067 67 WORD OP masso massaggio rel 2.898493406 5 9 3.912321606 19 5
21068 68 WORD OP quiete quietanza rel 3.396398267 6 9 1.367014489 7 0
21069 69 WORD OP serena serenata rel 1.734991274 6 8 2.803707087 9 3
21070 70 WORD OP sosta sostanza rel 3.799449264 5 8 3.933648361 21 3
21071 71 WORD OP tempera temperanze rel 2.212112529 7 10 1.889893 4 1
21072 72 WORD OP testa testamento rel 5.506904066 5 10 3.98853696 31 2
21073 73 WORD OP tratto trattore rel 4.201223187 6 8 3.242075752 14 3
21074 74 WORD OP vanto vantaggio rel 2.93128592 5 9 4.300164199 21 1
21075 75 WORD OP viola violenza rel 3.934432995 5 8 4.41011467 12 6
11076 76 WORD OP bile barile ctrl 2.834375907 4 6 3.450994618 28 8
11077 77 WORD OP briga revisore ctrl 3.228349728 5 8 2.653321228 8 3
11078 78 WORD OP carro fiorente ctrl 4.160339142 5 8 2.580089314 22 2
11079 79 WORD OP cavia lunario ctrl 3.245919092 5 7 2.798378253 13 2
11080 80 WORD OP cono senile ctrl 3.329225928 4 6 2.702806591 47 9
11081 81 WORD OP costo normale ctrl 4.144682922 5 7 4.857066657 26 8
11082 82 WORD OP doga urbana ctrl 1.367014489 4 6 3.107377179 31 3
11083 83 WORD OP falco corroso ctrl 3.792983221 5 7 2.421372151 14 5
11084 84 WORD OP fosso calcolo ctrl 3.43766794 5 7 3.528382491 22 3
