Trial.ID	Target.ID	lexicality	morphtype	target	prime	primetype	logfreq.Zipf.t	lent	lenp	logFreq.Zipf.p	Nt	Np
11081	81	WORD	OP	craft	vainly	ctrl	4,06	5	6	1,7	6	2
11082	82	WORD	OP	crook	pottery	ctrl	3,43	5	7	4,14	9	3
11083	83	WORD	OP	earl	within	ctrl	3,97	4	6	5,22	22	3
11084	84	WORD	OP	flick	adviser	ctrl	3,85	5	7	3,96	10	4
11085	85	WORD	OP	glut	bridal	ctrl	2,74	4	6	3,22	13	0
11086	86	WORD	OP	heart	folder	ctrl	5,3	5	6	2,94	6	13
11087	87	WORD	OP	helm	brutal	ctrl	3,38	4	6	3,99	15	0
11088	88	WORD	OP	iron	sandy	ctrl	4,52	4	5	4,05	15	24
11089	89	WORD	OP	numb	really	ctrl	3,47	4	6	6,29	5	3
11090	90	WORD	OP	organ	leaflet	ctrl	3,99	5	7	3,42	6	0
11091	91	WORD	OP	plan	editor	ctrl	5,2	4	6	4,39	28	0
11092	92	WORD	OP	pluck	winger	ctrl	3,38	5	6	3,41	6	20
11093	93	WORD	OP	putt	fishy	ctrl	3,63	4	5	3,61	24	6
11094	94	WORD	OP	sign	frosty	ctrl	4,98	4	6	3,51	8	2
11095	95	WORD	OP	snip	hourly	ctrl	3,64	4	6	3,01	18	2
11096	96	WORD	OP	treat	angler	ctrl	4,75	5	6	2,78	6	3
11097	97	WORD	OP	troll	naughty	ctrl	3,32	5	7	4,24	8	1
11098	98	WORD	OP	trump	chatter	ctrl	4,07	5	7	3,26	9	9
11099	99	WORD	OP	unit	others	ctrl	4,58	4	6	5,13	15	2
11100	100	WORD	OP	whisk	coyness	ctrl	3,82	5	7	1,65	3	0
21101	101	WORD	OR	again	against	rel	5,84	5	7	5,53	3	0
21102	102	WORD	OR	append	appendix	rel	1,65	6	8	3,03	2	0
21103	103	WORD	OR	arse	arsenal	rel	4,04	4	7	4,11	19	0
21104	104	WORD	OR	basil	basilisk	rel	4,09	5	8	1,87	12	0
21105	105	WORD	OR	broth	brothel	rel	3,49	5	7	3,12	6	1
21106	106	WORD	OR	candid	candidacy	rel	3,02	6	9	2,63	0	0
21107	107	WORD	OR	colon	colonel	rel	2,98	5	7	4,32	12	2
21108	108	WORD	OR	comma	command	rel	2,81	5	7	4,25	6	2
21109	109	WORD	OR	demon	demonstrate	rel	3,53	5	11	4,09	16	1
21110	110	WORD	OR	elect	electron	rel	3,63	5	8	3,24	3	1
21111	111	WORD	OR	ether	ethereal	rel	2,91	5	8	2,64	8	0
21112	112	WORD	OR	extra	extract	rel	5,02	5	7	3,76	2	1
21113	113	WORD	OR	fuse	fuselage	rel	3,66	4	8	2,89	15	0
21114	114	WORD	OR	intern	international	rel	2,82	6	13	4,97	3	0
21115	115	WORD	OR	invest	investigate	rel	4,35	6	11	4,3	5	0
