Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
42	22	Female	Right	B	08/09/2017	08:05:39	1	Prova	wellness	well	4	754	2
42	22	Female	Right	B	08/09/2017	08:05:39	2	Prova	homeless	home	4	496	2
42	22	Female	Right	B	08/09/2017	08:05:39	3	Prova	tricky	tricker	4	778	1
42	22	Female	Right	B	08/09/2017	08:05:39	4	Prova	character	char	4	752	2
42	22	Female	Right	B	08/09/2017	08:05:39	5	Prova	translater	pulter	4	782	1
42	22	Female	Right	B	08/09/2017	08:05:39	6	Prova2	escape	exat	4	735	1
42	22	Female	Right	B	08/09/2017	08:05:39	7	Prova2	investigator	invest	4	1156	2
42	22	Female	Right	B	08/09/2017	08:05:39	8	Prova2	examiner	exam	4	748	2
42	22	Female	Right	B	08/09/2017	08:05:39	9	Prova2	topic	top	4	699	2
42	22	Female	Right	B	08/09/2017	08:05:39	1	Warmup	unpack	pack	5	574	2
42	22	Female	Right	B	08/09/2017	08:05:39	2	Warmup	tartare	tariff	5	674	1
42	22	Female	Right	B	08/09/2017	08:05:39	3	Warmup	cowrie	sturms	5	860	1
42	22	Female	Right	B	08/09/2017	08:05:39	4	Warmup	cortex	newbie	5	678	1
42	22	Female	Right	B	08/09/2017	08:05:39	5	Warmup	pullma	pulm	5	669	1
42	22	Female	Right	B	08/09/2017	08:05:39	1	TrialPrimaParte	airtight	aith	2	671	1
42	22	Female	Right	B	08/09/2017	08:05:39	2	TrialPrimaParte	cheaply	twin	0	637	2
42	22	Female	Right	B	08/09/2017	08:05:39	3	TrialPrimaParte	cousin	coul	2	826	1
42	22	Female	Right	B	08/09/2017	08:05:39	4	TrialPrimaParte	cloudless	cloud	1	736	2
42	22	Female	Right	B	08/09/2017	08:05:39	5	TrialPrimaParte	category	cagre	2	580	1
42	22	Female	Right	B	08/09/2017	08:05:39	6	TrialPrimaParte	coyness	whisk	0	830	1
42	22	Female	Right	B	08/09/2017	08:05:39	7	TrialPrimaParte	roller	quart	0	722	1
