Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
37	21	Female	Right	A	01/12/2016	08:56:34	1	Prova	produce	prode	4	852	2
37	21	Female	Right	A	01/12/2016	08:56:34	2	Prova	ricordo	rico	4	941	1
37	21	Female	Right	A	01/12/2016	08:56:34	3	Prova	ribelle	ribes	4	802	2
37	21	Female	Right	A	01/12/2016	08:56:34	4	Prova	prostata	prosta	4	853	1
37	21	Female	Right	A	01/12/2016	08:56:34	5	Prova	dedotto	potto	4	915	1
37	21	Female	Right	A	01/12/2016	08:56:34	6	Prova2	prelato	lato	4	782	2
37	21	Female	Right	A	01/12/2016	08:56:34	7	Prova2	ripiano	piano	4	490	2
37	21	Female	Right	A	01/12/2016	08:56:34	8	Prova2	prefitto	fitto	4	813	1
37	21	Female	Right	A	01/12/2016	08:56:34	9	Prova2	distratto	abbo	4	623	1
37	21	Female	Right	A	01/12/2016	08:56:34	1	Warmup	rituale	pigiama	5	648	2
37	21	Female	Right	A	01/12/2016	08:56:34	2	Warmup	globale	glole	5	669	1
37	21	Female	Right	A	01/12/2016	08:56:34	3	Warmup	operaio	opera	5	436	2
37	21	Female	Right	A	01/12/2016	08:56:34	4	Warmup	privato	spugo	5	608	1
37	21	Female	Right	A	01/12/2016	08:56:34	5	Warmup	pugnal	pugn	5	712	1
37	21	Female	Right	A	01/12/2016	08:56:34	1	TrialPrimaParte	giuridica	sappeta	2	677	1
37	21	Female	Right	A	01/12/2016	08:56:34	2	TrialPrimaParte	bagaglio	baggo	2	699	1
37	21	Female	Right	A	01/12/2016	08:56:34	3	TrialPrimaParte	petroliera	pensione	0	461	2
37	21	Female	Right	A	01/12/2016	08:56:34	4	TrialPrimaParte	evenienza	mepitro	2	621	1
37	21	Female	Right	A	01/12/2016	08:56:34	5	TrialPrimaParte	elegante	elne	2	779	1
37	21	Female	Right	A	01/12/2016	08:56:34	6	TrialPrimaParte	finalista	finava	2	816	1
