"relatednessrel:morphTypeop:phonemicComprehension","relatednessrel:morphTypetr:phonemicComprehension","car::anova_pValue","nSbj","nDatapoints","converged"
-4.59054325605097,-0.266589686313902,2.19844926831923e-06,40,6991,1
-7.33344289359119,-3.87486164580492,1.69984714601192e-10,40,7283,1
-6.55616648182883,-4.90061163525278,5.57927699757647e-11,40,7113,1
-6.23288273249542,-3.08326956903074,3.01209888081367e-08,40,7223,1
-0.854760614155369,-1.36240840553377,0.322401513667512,40,7126,1
-7.62902410269411,-1.87624013020652,2.25783505063988e-08,40,7147,1
-5.66556922566045,-1.73695448718534,2.0105904011543e-06,40,7052,1
-5.86744766587602,-0.953547427850541,9.17652986093658e-10,40,7246,1
-3.26395594978792,-3.20279009396965,0.000118812949612476,40,7244,1
-8.03057859908291,-2.38943398344579,3.92316280896418e-15,40,7219,1
-5.7448953396495,-2.13038461762213,0.297126330733141,40,7129,0
-7.43787075022063,-2.60867487238867,1.06919896558543e-13,40,7229,1
-2.42106907597993,-0.117748037516147,0.115849976507979,40,7205,1
-6.0207024854266,-0.80019146050254,6.78197148315743e-09,40,7130,1
-8.63170399291531,-5.96593837336981,6.05375995028651e-20,40,7104,1
-4.82147195735178,-4.28779948750209,1.14632557878219e-07,40,7285,1
-3.67038697416695,-1.88643732457826,0.015832903570177,40,7154,1
-3.96683771972609,-1.45115512110457,0.00686281940494004,40,7004,1
-7.58173059014616,-4.69953936921235,4.17415960748713e-12,40,7187,1
-8.46975035800347,-5.00189237680899,1.80419567624177e-15,40,7177,1
-2.38198644091621,0.251298809320319,0.0238530946807188,40,7015,1
-3.82597332116972,-3.52948529958766,0.512746528971141,40,7045,0
-7.168254420064,-2.11837959095879,9.75038902579827e-11,40,7192,1
-5.76618374070135,-1.83461833892534,8.47728204928822e-07,40,7181,1
-4.98626196241555,-3.85497107520463,1.85103953106757e-06,40,7273,1
-4.44342068435246,-1.93370076733096,7.29483195532448e-05,40,7142,0
-5.40915408953595,-2.71164289067686,1.30689215297175e-06,40,7214,1
-4.85752810221572,-4.53102963060777,0.306362911004786,40,7326,0
-4.26487006491146,-2.06062021714787,0.000159176421344879,40,6917,1
-4.22284924069041,-1.06641613526132,0.000550036612492327,40,7123,1
-7.22090573079459,-4.93198853640578,4.1452422828641e-15,40,7154,1
-8.05609233512886,-2.07823279762823,1.34959121383643e-16,40,7153,1
-3.00504006565152,-1.3930718228765,0.00667682089675527,40,7184,1
-6.83932061287634,-1.06011207111503,9.82139161271336e-06,40,7148,1
-4.05265975693847,-0.670105571522734,8.18293938209208e-05,40,6993,1
-3.16761407035586,-2.47225120429434,0.00553056338450737,40,7058,1
-3.33164193008352,-1.69566795076779,0.013846853002869,40,7154,1
-3.46755061488813,-2.06166311368643,0.000971094252227032,40,7203,1
-6.58808212246055,-3.81985116710978,2.94107677215601e-09,40,7244,1
-6.72008795706587,-6.83330029617301,1.53378486643637e-13,40,7063,1
-7.88597618807558,-3.20017138768439,9.53040890651522e-15,40,7206,1
