"relatednessrel:morphTypeop","relatednessrel:morphTypetr","car::anova_pValue","nSbj","nDatapoints","converged"
-3.86257898221966,-12.9233166001919,0.312682491778178,40,7150,0
-4.43626560493131,-21.7732667226811,4.02811033536224e-06,40,6991,1
4.73051226886014,-12.4606788217246,0.000356135945186639,40,7283,1
-8.33955223380188,-20.8513574433561,0.0623924889475703,40,7113,0
-3.09977220890065,-17.9401100994326,0.000472616781570333,40,7223,1
-1.94619267162701,-10.1119024344985,0.142481256871484,40,7126,1
-11.4599429745085,-18.3389192974155,1.42282244109057e-07,40,7147,1
-8.20615994706719,-14.6446685570851,3.68777394050269e-05,40,7052,1
-7.35485909398038,-9.87434731905527,0.00178919956747707,40,7246,1
-5.69551411999526,-12.7260422259332,0.000452995811945271,40,7244,1
-14.7323803253761,-24.722675458622,0.0189518667579297,40,7219,0
-10.5818539861166,-19.4272886524854,9.41082161148746e-06,40,7129,1
-8.63679723216272,-20.0808166166955,2.83053803555418e-08,40,7229,1
-8.28473901585213,-17.652507084157,1.4356118171012e-05,40,7205,1
-4.32727389764078,-20.7824006137878,9.84972340140205e-07,40,7130,1
-10.2118931887708,-19.0660894302488,1.01596076537715e-08,40,7104,1
-0.718818953109436,-13.5092464725985,0.0110291904249237,40,7285,1
-5.67763005659591,-16.1448583081046,0.000314232985150995,40,7154,1
7.73193182497395,-15.8457588581376,6.93081789359288e-05,40,7004,1
-6.87363128526634,-16.5764563160663,2.45114079214823e-07,40,7187,1
-18.8404259607065,-23.6938739944338,1.40510663606777e-12,40,7177,1
-7.62189803908404,-16.4152288131594,1.71124060697708e-06,40,7015,1
-0.512887417826614,-16.2266008123019,0.000105010861491393,40,7045,1
-2.31019231840601,-18.6365544716606,2.72392391759437e-06,40,7192,1
3.29553881489692,-13.3917100149546,0.000807315202195679,40,7181,1
-0.347232990449422,-16.4379539571886,0.0773103998428211,40,7273,0
-16.6444237662326,-19.8806626970585,5.46987000084893e-10,40,7142,1
2.69468582113611,-14.1155512079402,0.000330537442052146,40,7214,1
-6.2321518824161,-15.6909983359758,8.00045525162495e-05,40,7326,1
-3.99265927887217,-18.7654657016064,1.85159629568279e-05,40,6917,1
-0.586413287133136,-13.4602909728096,0.000813649441686705,40,7123,1
-8.78939899679337,-16.6892114758372,5.82730641075114e-06,40,7154,1
-10.9825112258619,-21.1368534833078,2.27947692226663e-07,40,7153,1
-3.38481606479165,-18.7223055308584,1.75104994785137e-05,40,7184,1
-5.08831308806947,-10.1865245366204,0.0154416458602831,40,7148,1
-4.36131816440405,-16.0151481223444,0.00520533293855336,40,6993,1
-5.95295712817792,-14.5174729042706,0.000208935809231635,40,7058,1
-1.83557676330809,-19.5427870036785,1.51962026533109e-07,40,7154,1
3.75695014885712,-11.2155124482847,0.00481040373248519,40,7203,1
0.259762303454478,-13.6338113795752,0.00730205325239467,40,7244,1
-12.0308508585625,-12.038952622112,0.0115751557434557,40,7063,1
-6.12101892469612,-19.5572778003543,1.50413266258399e-08,40,7206,1
