"relatednessrel:morphTypeop:morphComprehension","relatednessrel:morphTypetr:morphComprehension","car::anova_pValue","nSbj","nDatapoints","converged"
0.407654516555093,-1.04700702381468,0.275076672104072,40,7330,1
0.94055924921114,-1.60964311752935,0.0424699750244339,40,7188,1
3.79469508155258,1.6625819844619,0.00114252520393807,40,7242,1
2.53149911285039,-0.645156299142174,0.00406660158386723,40,7082,1
4.91945210691755,3.04116304062651,4.8740184930839e-05,40,7223,1
7.6838638523685,0.586724843297411,2.1686769212885e-13,40,6994,1
5.05025043536123,0.514096315546823,5.11398357881842e-07,40,7084,1
3.74439518172347,0.452338316958969,0.00497896854149329,40,7173,1
0.752472910012729,0.785084223776682,0.650337745870978,40,7154,1
-1.08675893961444,-0.815261581607922,0.53799577663145,40,7155,1
7.99519670886063,4.30006462580715,2.16701798895714e-15,40,7034,1
1.77301366620339,1.98680497576463,0.132373026982568,40,7021,1
5.70177547822278,-0.324714742471861,0.537347405963571,40,7107,0
3.3444996654718,-0.558211598008324,0.000297941573500736,40,7165,1
2.12991529782669,1.47536692095471,0.0944021484044722,40,7229,1
6.1800834832908,4.06979123024868,4.31815873790036e-10,40,7161,1
3.18733552339654,2.02728829660837,0.00458265368712047,40,7323,1
2.63654306665699,1.16357111079346,0.023966747279109,40,7105,1
3.15431198604145,0.771322604246718,0.0202239436968762,40,7296,1
4.8510589294353,1.63681662779809,2.05293859058402e-06,40,7149,1
9.45631282659703,1.39756605351198,4.5317383447035e-18,40,7221,1
4.29698511081434,-0.381725380337516,4.36999411587288e-06,40,7149,1
5.48849959788719,2.79287125453216,2.88721815385463e-08,40,7162,1
6.47736845521125,4.03669455171359,3.11516592014053e-09,40,7103,1
-1.4320312542172,1.01030079659891,0.079757604651286,40,7114,1
6.35094725853156,3.2906447766115,2.14949793825391e-09,40,7157,1
5.70764336542003,-1.53215376415163,9.27911925332917e-12,40,7184,1
3.70179425412233,-0.47686373666206,3.99745362019087e-05,40,7206,1
4.93400894912121,2.42665217783565,0.000481285292192712,40,7166,1
6.42477319741815,1.55028414558379,0.00135945581144941,40,7274,1
7.48173215538231,0.530080018088013,8.33886572039232e-16,40,7343,1
5.45873903612225,0.344551104511624,0.610605128921486,40,7120,0
4.76246880857575,-0.10927917487573,5.07847310486926e-06,40,7122,1
5.50894303243487,-1.37954767308424,0.468800319361152,40,7132,0
4.86684136750109,-4.94675494300564,3.27839845968035e-21,40,7154,1
3.33545633324772,0.109896420207621,0.00158812709233543,40,7134,1
4.6766504537605,2.72505421117214,1.05343406042087e-05,40,7213,1
3.28937061087992,-0.358067599768155,0.00021226253469285,40,7142,1
4.52315904119418,1.816900946102,4.60136092406282e-05,40,7155,1
